Item,Size,kcal
Pork Omelette,1 Portion,300
Pork Paella,1 Portion,388
Pork Panang,1 Portion,479
Pork Pie,1 Slice,290
Pork Pilaf,1 Portion,448
Pork Plate,1 Portion,323
Pork Red Curry,1 Portion,467
Pork Ribs,100g,277
Pork Ribs Baby Back,100g,244
Pork Ribs Spare,100g,296
Pork Rinds,1 Portion,155
Pork Risotto,1 Portion,311
Pork Rogan Josh,1 Portion,378
Pork Saag,1 Portion,444
Pork Salad,1 Portion,231
Pork Sausage,1 Item,82
Pork Schnitzel,1 Portion,350
Chicken Schnitzel,1 Portion,320
Pork Scratchings,1 Portion,157
Pork Skewer,1 Item,254
Pork Soup,1 Portion,254
Pork Stew,1 Portion,300
Pork Sticky Rice,1 Portion,460
Pork Taco,1 Item,277
Pork Tenderloin,100g,143
Pork Tikka Masala,1 Portion,598
Pork Trotters,100g,230
Pork Vindaloo,1 Portion,496
Pork Wrap,1 Item,300
Pork Yellow Curry,1 Portion,492
Porridge Oat,1 Cup,166
Port Salut,1 Portion,100
Port Wine,1 Portion,165
Portobello Mushrooms,1 Item,18
Pot Au Feu,1 Portion,350
Pot De Creme,1 Piece,310
Pot Roast,1 Portion,340
Pot Roast with Vegetables,1 Portion,430
Pot Stickers,5 Pieces,230
Potatoes,1 Portion,163
Potato Bisque Soup,1 Cup,309
Potato Broth Soup,1 Cup,223
Potato Chips Plain,1 Portion,110
Potato Chips Salt,1 Portion,120
Potato Chips Oregano,1 Portion,130
Potato Chowder Soup,1 Cup,284
Potato Chunky Soup,1 Cup,135
Potato Cream of Soup,1 Cup,245
Potato Noodle Soup,1 Cup,230
Potato Rice Soup,1 Cup,215
Potato Salad,1 Cup,358
Potato Soup,1 Portion,250
Potato Spicy Soup,1 Cup,216
Potato Stew Soup,1 Cup,199
Potato Wedges,1 Portion,290
Potatoes and Beans,1 Portion,115
Potatoes and Broccoli,1 Portion,85
Potatoes and Carrots,1 Portion,115
Potatoes and Corn,1 Portion,115
Potatoes and Kale,1 Portion,71
Potatoes and Mushrooms,1 Portion,64
Potatoes and Onions,1 Portion,115
Potatoes and Peas,1 Portion,115
Potatoes and Peppers,1 Portion,115
Potatoes and Quinoa,1 Portion,128
Potatoes and Spinach,1 Portion,65
Potatoes Bowl,1 Portion,100
Potatoes Casserole,1 Portion,320
Potatoes Curry,1 Portion,190
Potatoes Fritter,1 Piece,107
Potatoes Omelette,1 Portion,100
Potatoes Skewer,1 Item,84
Poulet Roti,100g,215
Poultry Seasoning,1 Teaspoon,5
Pound Cake,1 Slice,350
Nonfat Powdered Milk,1 Cup,243
Powdered Milk,1 Cup,635
Power Bowl Grain,1 Portion,480
Powerade,1 Item,130
Pozole,1 Cup,228
Pozole Rojo,1 Portion,280
Praline,1 Piece,177
Preserves Peach,1 Tablespoon,50
Pretzel,1 Item,229
Pretzel Sticks,1 Portion,108
Pretzel Twists,1 Portion,108
Prickly Pear,1 Item,42
Princess Cake,1 Slice,430
Profiterole,1 Piece,126
Prosciutto,1 Portion,60
Prosecco,1 Portion,80
Protein and Agave Smoothie,1 Cup,328
Protein and Chia Smoothie,1 Cup,319
Protein and Flaxseed Smoothie,1 Cup,287
Protein and Honey Smoothie,1 Cup,248
Protein and Kale Smoothie,1 Cup,281
Protein and Oats Smoothie,1 Cup,253
Protein and Peanut Butter Smoothie,1 Cup,233
Protein and Spinach Smoothie,1 Cup,277
Protein and Yogurt Smoothie,1 Cup,293
Protein Bar,1 Item,200
Protein Shake,1 Cup,250
Protein Waffle,1 Item,200
Provolone,1 Portion,98
Prune Juice,1 Cup,182
Prunes,1 Item,23
Psyllium Husk,1 Tablespoon,15
Pudding Banana,1 Cup,285
Pudding Butterscotch,1 Cup,290
Pudding Chocolate,1 Cup,300
Pudding Cup,1 Cup,170
Pudding Rice,1 Cup,296
Pudding Tapioca,1 Cup,220
Pudding Vanilla,1 Cup,280
Puffed Baby Snack,1 Piece,7
Puffed Rice,1 Cup,56
Puffed Wheat,1 Cup,55
Pulao Vegetable,1 Portion,320
Pulled Pork Sandwich,1 Item,540
Pulpo a La Gallega,1 Portion,280
Pumpernickel,1 Slice,80
Pumpernickel Bread,1 Slice,80
Pumpkin,1 Cup,30
Pumpkin Bisque Soup,1 Cup,388
Pumpkin Bread,1 Slice,240
Pumpkin Broth Soup,1 Cup,189
Pumpkin Brownie,1 Item,279
Pumpkin Cake,1 Slice,333
Pumpkin Cheesecake,1 Slice,435
Pumpkin Chowder Soup,1 Cup,251
Pumpkin Chunky Soup,1 Cup,118
Pumpkin Cookie,1 Item,202
Pumpkin Cream of Soup,1 Cup,369
Pumpkin Cupcake,1 Item,258
Pumpkin Muffin,1 Item,325
Pumpkin Noodle Soup,1 Cup,238
Pumpkin Pie,1 Slice,323
Pumpkin Pie Spice,1 Teaspoon,5
Pumpkin Rice Soup,1 Cup,126
Pumpkin Scone,1 Item,187
Pumpkin Seeds,1 Portion,151
Pumpkin Seeds Roasted,1 Portion,148
Pumpkin Spice Cappuccino,1 Item,147
Pumpkin Spice Frappe,1 Item,234
Pumpkin Spice Latte,1 Item,149
Pumpkin Spice Macchiato,1 Item,182
Pumpkin Spice Mocha,1 Item,225
Pumpkin Spicy Soup,1 Cup,236
Pumpkin Stew Soup,1 Cup,220
Pupusa,1 Piece,280
Puri,1 Piece,101
Puri Bhaji,1 Portion,340
Purple Potato,1 Portion,160
Purslane,100g,20
Puttanesca Sauce,1 Cup,100
Pate De Campagne,1 Portion,90
Quail,1 Item,134
Quail Egg,1 Item,14
Quail Meat,100g,227
Quark Cheese,100g,65
Quesadilla Cheese,1 Item,470
Quesadilla Chicken,1 Item,520
Quesadilla Mushrooms,1 Item,420
Quesadilla Steak,1 Item,560
Queso Blanco,1 Portion,80
Queso Dip,2 Tablespoons,45
Queso Fresco,1 Portion,83
Quiche Florentine,1 Slice,325
Quiche Lorraine,1 Slice,410
Quince,1 Item,52
Quinoa,1 Cup,222
Quinoa Bowl,1 Portion,156
Quinoa Burger,1 Item,180
Quinoa Cake,1 Portion,180
Quinoa Casserole,1 Portion,168
Quinoa Curry,1 Portion,168
Quinoa Fritter,1 Piece,168
Quinoa Omelette,1 Portion,156
Quinoa Pasta,1 Portion,168
Quinoa Plate,1 Portion,168
Quinoa Risotto,1 Portion,162
Quinoa Salad,1 Portion,280
Quinoa Salad with Dressing,1 Portion,344
Quinoa Sandwich,1 Item,168
Quinoa Skewer,1 Item,132
Quinoa Soup,1 Portion,132
Quinoa Stew,1 Portion,156
Quinoa Taco,1 Item,144
Quinoa Wrap,1 Item,156
Rabbit,100g,173
Raclette,1 Portion,120
Radicchio,1 Cup,9
Radish,1 Cup,19
Rainbow Cookie,1 Piece,110
Rainbow Sprinkles,1 Tablespoon,50
Raisin Bran,1 Cup,195
Raisins,1 Cup,434
Raita,1 Cup,150
Rajma,1 Portion,290
Rambutan,100g,82
Ramen Noodles,1 Cup,190
Ramen Shio,1 Portion,440
Ramen Shoyu,1 Portion,480
Ramen Tonkotsu,1 Portion,650
Ramyeon,1 Portion,470
Ramyeon Korean,1 Portion,510
Ranch Dip,2 Tablespoons,60
Ranch Dressing,2 Tablespoons,129
Ras Malai,1 Piece,240
Rasam,1 Cup,60
Rasgulla,2 Pieces,140
Raspberries,1 Cup,64
Raspberry Brownie,1 Item,319
Raspberry Cake,1 Slice,379
Raspberry Cheesecake,1 Slice,502
Raspberry Cookie,1 Item,138
Raspberry Cupcake,1 Item,221
Raspberry Frozen Yogurt,1 Item,142
Raspberry Gelato,1 Item,208
Raspberry Ice Cream,1 Item,170
Raspberry Milkshake,1 Cup,365
Raspberry Muffin,1 Item,284
Raspberry Pie,1 Slice,295
Raspberry Scone,1 Item,256
Raspberry Sorbet,1 Item,116
Raspberry Sundae,1 Item,382
Ratatouille,1 Portion,130
Rava Dosa,1 Item,150
Ravioli Cheese,1 Portion,480
Ravioli Meat,1 Portion,530
Rawon,1 Portion,350
Razor Clam,100g,74
Reblochon,1 Portion,99
Red Apple,1 Item,80
Red Bean Paste,1 Tablespoon,38
Red Bean Soup,1 Portion,230
Red Beans and Rice,1 Portion,380
Red Bull,1 Item,110
Red Cabbage,1 Cup,28
Red Cabbage German Style,1 Cup,120
Red Currant,1 Cup,63
Red Curry Thai,1 Cup,350
Red Drum,100g,115
Red Grapefruit,1 Item,52
Red Onion,1 Item,46
Red Orange,1 Item,62
Red Peach,1 Item,59
Red Pear,1 Item,100
Red Pepper Flakes,1 Teaspoon,6
Red Plum,1 Item,30
Red Potato,1 Portion,154
Red Rice,1 Cup,216
Red Velvet Brownie,1 Item,330
Red Velvet Cake,1 Slice,420
Red Velvet Cheesecake,1 Slice,418
Red Velvet Cookie,1 Item,156
Red Velvet Muffin,1 Item,342
Red Velvet Pie,1 Slice,373
Red Velvet Scone,1 Item,251
Red Wine,1 Portion,125
Red Wine Reduction Sauce,1 Tablespoon,20
Red Wine Vinegar,1 Tablespoon,3
Refried Beans,1 Cup,234
Refried Beans Canned,1 Cup,236
Reindeer Meat,100g,127
Relish,1 Tablespoon,20
Rendang Beef,1 Cup,470
Reuben Sandwich,1 Item,610
Revithada,1 Portion,260
Rhubarb Pie,1 Slice,280
Ribollita,1 Cup,240
Rice and Beans,1 Cup,225
Rice Bowl,1 Portion,169
Rice Bowl Teriyaki Chicken,1 Portion,520
Rice Cake,1 Portion,35
Rice Casserole,1 Portion,320
Rice Cereal Baby,1 Tablespoon,15
Rice Crackers,1 Portion,110
Rice Chips,1 Portion,110
Rice Curry,1 Portion,182
Rice Fritter,1 Portion,182
Rice Krispies,1 Cup,130
Rice Malt Syrup,1 Tablespoon,57
Rice Milk,1 Cup,113
Rice Omelette,1 Portion,169
Rice Paper Roll Vegan,1 Piece,85
Rice Pilaf,1 Portion,230
Rice Soup,1 Portion,60
Rice Stew,1 Portion,350
Rice Vinegar,1 Tablespoon,0
Ricotta Cheese,1 Cup,174
Ricotta Toast,1 Slice,200
Ricotta Whole Milk,1 Cup,432
Rigatoni with Sauce,1 Portion,430
Risalamande,1 Piece,280
Risotto,1 Cup,350
Risotto Asparagus,1 Portion,400
Risotto Milanese,1 Portion,380
Risotto Seafood,1 Portion,460
Roast Beef,100g,217
Roast Beef Sandwich,1 Item,460
Roasted Turkey Gravy,1 Cup,100
Roasted Apple,1 Portion,110
Roasted Artichoke,1 Portion,66
Roasted Asparagus,1 Portion,22
Roasted Avocado,1 Portion,110
Roasted Bacon,1 Portion,160
Roasted Banana,1 Portion,110
Roasted Beef Ribs,1 Item,352
Roasted Beef Steak,1 Portion,297
Roasted Beet Salad,1 Portion,160
Roasted Bell Peppers,1 Cup,36
Roasted Broccoli,1 Portion,60
Roasted Cabbage,1 Portion,110
Roasted Carrots,1 Cup,61
Roasted Chicken,1 Portion,181
Roasted Chicken Breast,1 Portion,181
Roasted Chicken Thigh,1 Portion,229
Roasted Cod Fillet,1 Portion,115
Roasted Duck Breast,1 Portion,363
Roasted Egg,1 Portion,85
Roasted Eggplant,1 Portion,27
Roasted Fish,1 Portion,132
Roasted Green Beans,1 Portion,34
Roasted Kale,1 Portion,36
Roasted Lamb,1 Portion,310
Roasted Lamb Chop,1 Portion,319
Roasted Mango,1 Portion,110
Roasted Mushrooms,1 Portion,24
Roasted Onions,1 Cup,60
Roasted Pear,1 Portion,110
Roasted Pineapple,1 Portion,110
Roasted Pork,1 Portion,254
Roasted Pork Chop,1 Portion,275
Roasted Pork Ribs,1 Item,330
Roasted Potatoes,1 Portion,200
Roasted Red Pepper Hummus,2 Tablespoons,50
Roasted Red Pepper Soup,1 Portion,140
Roasted Red Peppers,1 Cup,25
Roasted Salmon,1 Portion,226
Roasted Salmon Fillet,1 Portion,228
Roasted Seafood,1 Portion,165
Roasted Shrimp,1 Portion,108
Roasted Spinach,1 Portion,25
Roasted Sweet Corn,1 Portion,94
Roasted Sweet Potatoes,1 Portion,94
Roasted Tilapia Fillet,1 Portion,121
Roasted Tofu,1 Portion,83
Roasted Tomatoes,1 Portion,60
Roasted Tuna,1 Portion,145
Roasted Turkey Breast,1 Portion,148
Roasted Vegetables,1 Portion,88
Roasted Zucchini,1 Portion,18
Rock Candy,1 Portion,110
Rockfish,100g,94
Rocky Road Frozen Yogurt,1 Item,103
Rocky Road Gelato,1 Item,168
Rocky Road Milkshake,1 Cup,338
Rocky Road Sorbet,1 Item,145
Rocky Road Sundae,1 Item,401
Roe Fish,100g,143
Rojak,1 Portion,250
Roma Tomato,1 Item,11
Romaine Lettuce,1 Cup,8
Romanesco,1 Cup,35
Romesco Sauce,2 Tablespoons,90
Roquefort,1 Portion,105
Rose Hip Tea,1 Cup,7
Rose Wine,1 Portion,120
Rosemary Dried,1 Teaspoon,3
Rostbratwurst,1 Piece,260
Roti,1 Piece,106
Roti Canai,1 Piece,260
Roti Caribbean,1 Piece,310
Roti Prata,1 Piece,260
Rotisserie Chicken,100g,190
Rouladen,1 Portion,310
Rugbrd Rye Bread,1 Slice,65
Rugelach,1 Piece,90
Rum,1 Portion,97
Rum and Coke,1 Item,247
Rum and Cola,1 Item,185
Rum Cake,1 Slice,420
Rum Dark,1 Portion,97
Rum White,1 Portion,96
Russet Potato,1 Portion,168
Russian Dressing,2 Tablespoons,110
Russian Tea Cake,1 Piece,72
Rutabaga,1 Cup,52
Rye Bread,1 Slice,83
Rye Crispbread,1 Piece,37
S Mores,1 Item,300
Saag Paneer,1 Portion,320
Sabich Sandwich,1 Item,420
Sablefish,100g,195
Sachertorte,1 Slice,340
Sachima,1 Piece,160
Sadza,1 Portion,230
Safflower Oil,1 Tablespoon,120
Saffron,1 Teaspoon,2
Saganaki,1 Portion,250
Sage Dried,1 Teaspoon,2
Sake,1 Portion,117
Salade Lyonnaise,1 Portion,380
Salak,1 Item,82
Salami,1 Portion,119
Salisbury Steak,1 Portion,290
Salmon,100g,208
Salmon and Beans,1 Portion,198
Salmon and Broccoli,1 Portion,169
Salmon and Carrots,1 Portion,198
Salmon and Corn,1 Portion,198
Salmon and Kale,1 Portion,155
Salmon and Mushrooms,1 Portion,148
Salmon and Noodles,1 Portion,223
Salmon and Onions,1 Portion,198
Salmon and Pasta,1 Portion,235
Salmon and Peas,1 Portion,198
Salmon and Peppers,1 Portion,198
Salmon and Quinoa,1 Portion,211
Salmon and Rice,1 Portion,218
Salmon and Spinach,1 Portion,148
Salmon Bowl,1 Portion,267
Salmon Cake,1 Portion,309
Salmon Casserole,1 Portion,288
Salmon Curry,1 Portion,288
Salmon Fritter,1 Piece,288
Salmon and Roll,1 Item,153
Salmon Omelette,1 Portion,267
Salmon Risotto,1 Portion,278
Salmon Roe,1 Tablespoon,20
Salmon Salad,1 Portion,206
Salmon Pasta,1 Portion,600
Salmon Sashimi,1 Piece,52
Salmon Skewer,1 Item,226
Salmon Soup,1 Portion,226
Salmon Spicy Roll,1 Piece,50
Salmon Stew,1 Portion,267
Salmon Taco,1 Item,247
Salmon Tempura Roll,1 Piece,61
Salmon Wrap,1 Item,267
Salmorejo,1 Cup,150
Salsa,2 Tablespoons,10
Salsa Roja,2 Tablespoons,10
Salsa Verde,1 Tablespoon,5
Salsify,100g,82
Salted Almonds,1 Portion,149
Salted Cashews,1 Portion,163
Salted Cheese Puffs,1 Portion,142
Salted Peanuts,1 Portion,155
Salted Pistachios,1 Portion,174
Salted Popcorn,1 Portion,196
Salted Pork Rinds,1 Portion,145
Salted Potato Chips,1 Portion,185
Salted Pretzels,1 Portion,165
Salted Pumpkin Seeds,1 Portion,141
Salted Sunflower Seeds,1 Portion,157
Salted Tortilla Chips,1 Portion,131
Salted Walnuts,1 Portion,176
Saltfish Fritters,1 Piece,310
Saltimbocca,1 Portion,340
Sambal,1 Tablespoon,20
Sambal Oelek,1 Teaspoon,5
Sambar,1 Cup,100
Samgyeopsal,100g,330
Samgyetang,1 Portion,630
Samgyetang Chicken Soup,1 Portion,450
Samosa Baked,1 Piece,130
Samosa Fried,1 Piece,160
Samosa Meat,1 Item,308
Samosa Vegetable,1 Item,262
Sandesh,1 Piece,80
Sangria,1 Cup,200
Sannakji,100g,100
Santol,100g,57
Sapodilla,100g,83
Sapote,100g,134
Sardine,100g,208
Sarma Stuffed Cabbage,1 Portion,160
Sashimi Platter,10 Pieces,350
Sashimi Tuna,100g,108
Satay Bee Hoon,1 Portion,350
Satay Beef,3 Items,285
Satay Indonesian,3 Items,280
Satay Sauce,2 Tablespoons,80
Satsuma,1 Item,37
Sauerbraten,1 Portion,340
Sauerkraut,1 Cup,27
Sausage Gravy,1 Cup,450
Sausage Pizza,1 Slice,320
Sausage Roll,1 Piece,265
Sauteed Apple,1 Portion,120
Sauteed Artichoke,1 Portion,72
Sauteed Asparagus,1 Portion,24
Sauteed Avocado,1 Portion,120
Sauteed Bacon,1 Portion,170
Sauteed Banana,1 Portion,120
Sauteed Broccoli,1 Portion,66
Sauteed Brussels Sprouts,1 Portion,51
Sauteed Cabbage,1 Portion,120
Sauteed Cauliflower,1 Portion,30
Sauteed Eggplant,1 Portion,30
Sauteed Fish,1 Portion,144
Sauteed Green Beans,1 Portion,37
Sauteed Kale,1 Portion,39
Sauteed Mango,1 Portion,120
Sauteed Mixed Vegetables,1 Portion,42
Sauteed Mushrooms,1 Portion,26
Sauteed Pear,1 Portion,120
Sauteed Pineapple,1 Portion,120
Sauteed Potatoes,1 Portion,92
Sauteed Salmon,1 Portion,247
Sauteed Seafood,1 Portion,180
Sauteed Shrimp,1 Portion,118
Sauteed Spinach,1 Portion,27
Sauteed Sweet Corn,1 Portion,103
Sauteed Sweet Potatoes,1 Portion,103
Sauteed Tofu,1 Portion,91
Sauteed Tuna,1 Portion,158
Sauteed Vegetables,1 Portion,96
Sauteed Zucchini,1 Portion,20
Savoy Cabbage,1 Cup,19
Scallion Pancake,1 Slice,230
Scallop,100g,88
Scallop and Roll,1 Item,170
Scallop Maki Roll,1 Piece,44
Scallop Nigiri,1 Piece,50
Scallop Sashimi,1 Piece,31
Scallop Spicy Roll,1 Piece,52
Scallop Tempura Roll,1 Piece,57
Scalloped Potatoes,1 Portion,330
Schmaltz,1 Tablespoon,110
Schnapps,1 Portion,100
Schnitzel Viennese,1 Piece,530
Schweinebraten,1 Portion,380
Scone Cranberry Orange,1 Item,310
Scone Plain,1 Item,190
Scone with Clotted Cream,1 Item,420
Scotch,1 Portion,97
Scotch Broth,1 Portion,180
Scotch Egg,1 Item,300
Scrambled Eggs,1 Portion,91
Scrambled Eggs with Avocado,1 Portion,302
Scrambled Eggs with Bacon,1 Portion,386
Scrambled Eggs with Salami,1 Portion,211
Scrambled Eggs with Hash Browns,1 Portion,301
Scrambled Eggs with Mushrooms,1 Portion,165
Scrambled Eggs with Pancakes,1 Portion,199
Scrambled Eggs with Sausage,1 Portion,328
Scrambled Eggs with Spinach,1 Portion,284
Scrambled Eggs with Toast,1 Portion,361
Scrambled Eggs with Tomatoes,1 Portion,152
Scrambled Eggs with Waffles,1 Portion,177
Screwdriver,1 Item,180
Sea Bass,100g,97
Sea Bream,100g,97
Sea Buckthorn,100g,82
Sea Cucumber,100g,30
Sea Urchin,100g,120
Sea Urchin and Roll,1 Item,143
Sea Urchin Maki Roll,1 Piece,45
Sea Urchin Nigiri,1 Piece,41
Sea Urchin Sashimi,1 Piece,50
Sea Urchin Spicy Roll,1 Piece,50
Sea Urchin Tempura Roll,1 Piece,60
Sea Vegetable Wakame,100g,45
Seafood Biryani,1 Portion,498
Seafood Bisque,1 Portion,250
Seafood Boil,1 Portion,600
Seafood Casserole,1 Portion,420
Seafood Congee,1 Portion,430
Seafood Curry,1 Portion,210
Seafood Fried Rice,1 Portion,468
Seafood Fritter,1 Piece,210
Seafood Gumbo,1 Portion,300
Seafood Jambalaya,1 Portion,332
Seafood Omelette,1 Portion,320
Seafood Pasta,1 Portion,450
Seafood Pilaf,1 Portion,332
Seafood Salad,1 Portion,150
Seafood Sandwich,1 Item,320
Seafood Skewer,1 Item,165
Seafood Soup,1 Portion,165
Seafood Stew,1 Portion,195
Seafood Sticky Rice,1 Portion,469
Seafood Taco,1 Item,180
Seafood Wrap,1 Item,195
Seaweed Nori,100g,35
Seaweed Rice Crackers,1 Portion,115
Seaweed Salad,1 Cup,70
Seitan,100g,150
Seltzer,1 Cup,0
Semla Cardamom Bun,1 Piece,450
Semolina,100g,360
Seolleongtang,1 Cup,220
Serrano Ham,1 Portion,60
Serrano Pepper,1 Item,2
Sesame Chicken,1 Portion,540
Sesame Oil,1 Tablespoon,120
Sesame Seeds,1 Portion,160
Sev Puri,1 Portion,210
Sex on the Beach,1 Item,270
Sfeeha Meat Pie,1 Piece,190
Sfogliatella,1 Piece,390
Shabu Shabu,1 Portion,420
Shad,100g,252
Rusk,1 Item,45
Shakshuka,1 Portion,350
Shallot,1 Item,7
Sharon Fruit,1 Item,70
Shawarma Beef,1 Item,580
Shawarma Chicken,1 Item,530
Shawarma Lamb,1 Item,470
Shchi Russian Cabbage Soup,1 Portion,150
She Crab Soup,1 Cup,250
Sheep Milk,1 Cup,265
Sheer Korma,1 Portion,320
Shepherd's Pie,1 Piece,480
Sherbet,1 Cup,266
Sherbet Orange,1 Cup,220
Sherry,1 Portion,120
Sherry Vinegar,1 Tablespoon,5
Shiitake Mushrooms,100g,34
Shirred Eggs,1 Portion,180
Shoestring Fries,1 Portion,380
Shoofly Pie,1 Slice,400
Shortbread,1 Item,70
Shortening Vegetable,1 Tablespoon,113
Shredded Wheat,2 Items,156
Shrikhand,1 Piece,250
Shrimps,100g,99
Shrimp and Beans,1 Portion,229
Shrimp and Broccoli,1 Portion,200
Shrimp and Carrots,1 Portion,229
Shrimp and Corn,1 Portion,229
Shrimp and Grits,1 Portion,420
Shrimp and Kale,1 Portion,185
Shrimp and Mushrooms,1 Portion,178
Shrimp and Noodles,1 Portion,254
Shrimp and Onions,1 Portion,229
Shrimp and Pasta,1 Portion,266
Shrimp and Peas,1 Portion,129
Shrimp and Peppers,1 Portion,129
Shrimp and Quinoa,1 Portion,142
Shrimp and Rice,1 Portion,320
Shrimp and Spinach,1 Portion,79
Shrimp Biryani,1 Portion,362
Shrimp Bisque,1 Portion,280
Shrimp Broth Soup,1 Cup,82
Shrimp Cake,1 Portion,148
Shrimp Casserole,1 Portion,352
Shrimp Chowder Soup,1 Cup,339
Shrimp Chunky Soup,1 Cup,122
Shrimp Congee,1 Portion,462
Shrimp Crackers,1 Portion,120
Shrimp Cream of Soup,1 Cup,289
Shrimp Creole,1 Cup,280
Shrimp Curry,1 Portion,370
Shrimp Fritter,1 Piece,138
Shrimp Green Curry,1 Portion,541
Shrimp and Roll,1 Item,170
Shrimp Jalfrezi,1 Portion,447
Shrimp Jambalaya,1 Portion,341
Shrimp Korma,1 Portion,373
Shrimp Madras,1 Portion,493
Shrimp Maki Roll,1 Piece,41
Shrimp Massaman,1 Portion,393
Shrimp Nigiri,1 Piece,54
Shrimp Noodle Soup,1 Cup,115
Shrimp Omelette,1 Portion,128
Shrimp Paella,1 Portion,360
Shrimp Panang,1 Portion,469
Shrimp Pilaf,1 Portion,453
Shrimp Red Curry,1 Portion,390
Shrimp Rice Soup,1 Cup,231
Shrimp Risotto,1 Portion,520
Shrimp Rogan Josh,1 Portion,402
Shrimp Saag,1 Portion,494
Shrimp Salad,1 Portion,200
Shrimp Sashimi,1 Piece,28
Shrimp Skewer,1 Item,108
Shrimp Soup,1 Portion,172
Shrimp Stew,1 Portion,128
Shrimp Stew Soup,1 Cup,234
Shrimp Sticky Rice,1 Portion,480
Shrimp Taco,1 Item,118
Shrimp Tempura,1 Piece,62
Shrimp Tempura Roll,1 Piece,58
Shrimp Tikka Masala,1 Portion,477
Shrimp Vindaloo,1 Portion,512
Shrimp with Lobster Sauce,1 Cup,340
Shrimp Wrap,1 Item,370
Shrimp Yellow Curry,1 Portion,515
Shumai,5 Pieces,210
Simit,1 Piece,220
Simple Syrup,1 Tablespoon,48
Siskebap,1 Item,180
Skate,100g,95
Skillet Egg and Vegetables,1 Portion,250
Skim Milk,1 Cup,83
Skittles,1 Item,250
Skyr,1 Cup,120
Slider,1 Item,180
Sloe Berry,100g,54
Sloppy Joe,1 Item,380
Smash Burger,1 Item,600
Smashed Potatoes,1 Portion,200
Smelt,100g,97
Smoked Artichoke,1 Portion,72
Smoked Asparagus,1 Portion,24
Smoked Bacon,1 Portion,180
Smoked Beef,1 Portion,300
Smoked Beef Ribs,1 Item,384
Smoked Beef Steak,1 Portion,270
Smoked Brisket,100g,210
Smoked Broccoli,1 Portion,66
Smoked Brussels Sprouts,1 Portion,51
Smoked Cauliflower,1 Portion,30
Smoked Cheese,1 Portion,336
Smoked Chicken,1 Portion,198
Smoked Chicken Breast,1 Portion,165
Smoked Chicken Thigh,1 Portion,209
Smoked Cod Fillet,1 Portion,105
Smoked Duck Breast,1 Portion,330
Smoked Egg,1 Portion,93
Smoked Eggplant,1 Portion,30
Smoked Fish,1 Portion,144
Smoked Gouda,1 Portion,105
Smoked Green Beans,1 Portion,37
Smoked Kale,1 Portion,39
Smoked Lamb,1 Portion,338
Smoked Lamb Chop,1 Portion,290
Smoked Mixed Vegetables,1 Portion,42
Smoked Mushrooms,1 Portion,26
Smoked Pork,1 Portion,277
Smoked Pork Chop,1 Portion,250
Smoked Pork Ribs,1 Item,360
Smoked Potatoes,1 Portion,92
Smoked Pulled Chicken,100g,140
Smoked Ribs,100g,298
Smoked Salmon,100g,117
Smoked Salmon Bagel,1 Item,370
Smoked Salmon Dip,2 Tablespoons,50
Smoked Salmon Fillet,1 Portion,208
Smoked Salmon Salad,1 Portion,180
Smoked Sausage,100g,301
Smoked Seafood,1 Portion,180
Smoked Shrimp,1 Portion,118
Smoked Spinach,1 Portion,27
Smoked Sweet Corn,1 Portion,103
Smoked Sweet Potatoes,1 Portion,103
Smoked Tilapia Fillet,1 Portion,110
Smoked Tofu,1 Portion,91
Smoked Tuna,1 Portion,158
Smoked Turkey,1 Portion,30
Smoked Turkey Breast,1 Portion,135
Smoked Vegetables,1 Portion,96
Smoked Zucchini,1 Portion,20
Smoothie Berry,1 Cup,180
Smoothie Bowl Acai,1 Portion,380
Smoothie Bowl Pitaya,1 Portion,350
Smoothie Green,1 Cup,140
Smoothie Mango,1 Cup,190
Smoothie Peanut Butter,1 Cup,380
Smoothie Strawberry Banana,1 Cup,210
Smoothie Tropical,1 Cup,220
Smorrebrod,1 Item,300
Snail,100g,90
Snapper,100g,128
Snapper Red,100g,100
Snickerdoodle,1 Item,107
Snow Peas,1 Cup,26
Soba Noodle Salad,1 Portion,300
Soba Noodle Soup,1 Portion,300
Socca Chickpea Pancake,1 Piece,150
Sockeye Salmon,100g,216
Soda Cream,1 Item,190
Dr Pepper,1 Item,150
Soda Ginger Ale,1 Item,124
Grape Soda,1 Item,160
Soda Lemon Lime,1 Item,140
Mountain Dew,1 Item,170
Soda Orange,1 Item,180
Root Beer,1 Item,160
Sofrito,1 Tablespoon,25
Soft Boiled Egg,1 Item,72
Soft Pretzel Sweet,1 Item,280
Soft Serve Ice Cream,1 Item,230
Soft Shell Crab,1 Item,80
Soju,1 Portion,72
Sole,100g,117
Som Tam,1 Cup,120
Songpyeon,3 Pieces,140
Sop Buntut,1 Cup,300
Sopa De Fideo,1 Portion,280
Sopa De Lima,1 Portion,220
Sopa Paraguaya,1 Slice,270
Sopas Aztecas,1 Portion,300
Sope,1 Item,145
Soppressata,1 Portion,100
Sorbet,1 Cup,184
Sorghum,1 Cup,239
Sorrel,1 Cup,15
Sosaties Kebab,1 Item,200
Soto Ayam,1 Portion,290
Souffle Cheese,1 Portion,240
Souffle Au Fromage,1 Portion,290
Sour Cream,2 Tablespoons,60
Sour Patch Kids,10 Pieces,110
Sourdough Bread,1 Slice,90
Soursop,1 Cup,148
Southern Fried Catfish,1 Portion,400
